316,Manufacturer,Type,Multi Engine,Lowest Year,Highest Year,Date Range,Year Model Filter,Lowest Age,Highest Age,Min Crew Required,Max Operating Altitude (ft),Balanced Field Length (ft),Aircraft Height (ft),Wingspan (ft),Aircraft Length (ft),Aircraft Volume (cubic ft),Cabin Height (ft),Cabin Width (ft),Cabin Length (ft),Cabin Volume (cubic ft),Baggage Volume (cubic ft),Cabin/Aircraft Volume,Range(NM),Speed(KTS),Passengers,Average Price,Depreciation Rate,Average Trip Time,# of Hours,Passenger Pay,Hourly Charter Rate,Average Charter Trip Time,# of Charter Hours,Yearly Charter Profit,Total Fixed Cost,Total Variable Cost,Adjusted Variable Cost,Annual Budget,Adjusted Annual Budget,Multi-Year Total Cost,MYTC w/ Aircraft Sale,Cost To Charter,Own/Charter Ratio,Own/Charter Savings,Best Speed/$,Normalized Speed/$,Best Seat Speed/$,Best Range/$,Normalized Range/$,Best Seat Range/$,Best Performance/$,Normalized Performance/$,Best Seat Performance/$,Best Efficiency/$,Normalized Effieciency/$,Best Seat Efficiency/$,Best All Around/$,Best Seat All Around/$,Total Hourly Cost,Hourly Cost/Seat,Cost/Mile,Cost/Seat Mile,Hourly Variable Cost,Variable Cost/Seat,Variable Cost/Mile,Variable Cost/Seat Mile
KING AIR 350,BEECH,Turboprop,Yes,1990,2009,1990-2009,Yes,15,34,1,"35,000","3,217",14.30,57.90,46.70,"38,666",4.91,4.60,19.20,433.7,70,8.9,"1,404",310,8,"$3,422,000","$2,790,205",1.3,134,$0,$991.38,0.0,0,$0,"$479,746","$892,242","$288,246","$1,371,988","$685,292","$7,480,257","$4,690,051","$2,660,736",1.76,"$2,029,315",24.13,75.58,3.02,53.28,96.99,6.66,86.28,117.39,10.79,95.69,18.79,11.96,68.09,8.51,"$3,048.86",$381.11,$9.84,$1.23,"$1,982.76",$247.85,$6.40,$0.80
HAWKER 400XPR,BAE,Business Jet,Yes,2017,2019,2017-2019,Yes,5,7,2,"45,000","3,929",13.90,43.50,48.40,"29,265",4.90,4.92,15.60,376.1,56,7.8,"1,212",450,8,"$3,295,000","$2,686,653",0.9,92,$0,"$1,158.80",0.0,0,$0,"$502,925","$1,042,920","$232,103","$1,545,845","$605,028","$6,928,489","$4,241,836","$2,142,492",1.98,"$2,099,343",15.40,45.62,1.92,57.17,104.91,7.15,75.27,102.16,9.41,71.37,13.99,8.92,58.07,7.26,"$3,435.21",$429.40,$7.63,$0.95,"$2,317.60",$289.70,$5.15,$0.64
KING AIR C90GTi,BEECH,Turboprop,Yes,2007,2010,2007-2010,Yes,14,17,1,"30,000","4,406",14.30,50.20,35.50,"25,484",4.90,4.60,12.50,281.8,48,9.0,670,250,5,"$2,750,000","$2,242,275",1.6,166,$0,$879.50,0.0,0,$0,"$360,568","$791,550","$317,089","$1,152,118","$594,957","$6,232,510","$3,990,235","$2,926,976",1.36,"$1,063,259",24.93,78.32,4.99,93.02,178.04,18.60,128.18,175.35,25.64,87.70,17.21,17.54,96.28,19.26,"$2,560.26",$512.05,$10.24,$2.05,"$1,759.00",$351.80,$7.04,$1.41
LEARJET 60,BOMBARDIER,Business Jet,Yes,1993,2003,1993-2003,Yes,21,31,2,"51,000","5,313",14.60,43.80,58.70,"37,537",5.90,5.92,17.80,621.7,48,6.0,"2,131",436,7,"$2,210,000","$1,801,974",0.9,95,$0,"$1,829.88",0.0,0,$0,"$618,920","$1,646,892","$378,287","$2,265,812","$867,207","$6,954,062","$5,152,088","$3,491,881",1.48,"$1,660,207",15.95,47.52,2.28,32.63,54.88,4.66,51.20,68.86,7.31,116.74,22.95,16.68,45.90,6.56,"$5,035.14",$719.31,$11.55,$1.65,"$3,659.76",$522.82,$8.39,$1.20
CITATION EXCEL,CESSNA,Business Jet,Yes,1998,2004,1998-2004,Yes,20,26,2,"45,000","3,958",17.20,55.70,51.90,"49,722",5.80,5.60,18.60,604.1,90,8.2,"1,440",433,8,"$2,580,000","$2,103,662",0.9,96,$0,"$1,616.68",0.0,0,$0,"$610,251","$1,455,012","$336,528","$2,065,263","$816,779","$7,140,235","$5,036,573","$3,106,415",1.62,"$1,930,158",16.49,49.37,2.06,49.58,89.45,6.20,69.41,94.06,8.68,106.64,20.95,13.33,57.50,7.19,"$4,589.47",$573.68,$10.60,$1.32,"$3,233.36",$404.17,$7.47,$0.93
CITATION ENCORE,CESSNA,Business Jet,Yes,2000,2006,2000-2006,Yes,18,24,2,"45,000","3,822",15.20,54.10,48.90,"40,211",4.90,4.91,17.40,418.6,71,9.6,"1,375",430,7,"$3,403,000","$2,774,713",0.9,97,$0,"$1,342.54",0.0,0,$0,"$504,756","$1,208,286","$281,413","$1,713,042","$656,169","$7,312,132","$4,537,419","$2,597,659",1.75,"$1,939,760",17.00,51.14,2.43,53.18,96.78,7.60,73.96,100.35,10.57,91.32,17.93,13.05,59.14,8.45,"$3,806.76",$543.82,$8.85,$1.26,"$2,685.08",$383.58,$6.24,$0.89
KING AIR C90GT,BEECH,Turboprop,Yes,2006,2007,2006-2007,Yes,17,18,1,"30,000","4,406",14.30,50.20,35.50,"25,484",4.91,4.60,12.50,282.3,48,9.0,670,250,5,"$2,750,000","$2,242,275",1.6,166,$0,$882.88,0.0,0,$0,"$386,948","$794,592","$318,308","$1,181,540","$622,556","$6,370,503","$4,128,229","$2,938,225",1.41,"$1,190,004",25.48,80.22,5.10,95.08,182.24,19.02,131.23,179.57,26.25,89.99,17.67,18.00,98.62,19.72,"$2,625.64",$525.13,$10.50,$2.10,"$1,765.76",$353.15,$7.06,$1.41
G100,GULFSTREAM,Business Jet,Yes,2001,2006,2001-2006,Yes,18,23,2,"45,000","5,850",18.20,54.60,55.60,"55,251",5.70,4.90,17.10,477.6,64,11.6,"2,486",459,7,"$2,695,000","$2,197,429",0.9,91,$0,"$1,681.60",0.0,0,$0,"$628,611","$1,513,440","$330,214","$2,142,051","$828,825","$7,336,695","$5,139,266","$3,048,129",1.69,"$2,091,137",15.98,47.63,2.28,29.51,48.52,4.22,48.07,64.54,6.87,107.52,21.12,15.36,42.83,6.12,"$4,760.11",$680.02,$10.37,$1.48,"$3,363.20",$480.46,$7.33,$1.05
PHENOM 100EV,EMBRAER,Business Jet,Yes,2017,2024,2017-2024,Yes,0,7,1,"41,000","3,250",14.30,40.40,42.10,"24,322",4.92,5.00,11.00,270.6,71,9.0,894,410,5,"$4,700,000","$3,832,252",1.0,101,$0,$910.34,0.0,0,$0,"$337,375","$819,306","$200,127","$1,156,681","$407,502","$7,605,257","$3,773,006","$1,847,324",2.04,"$1,925,681",18.55,56.43,3.71,85.07,161.82,17.01,109.13,149.00,21.83,67.55,13.24,13.51,81.12,16.22,"$2,570.40",$514.08,$6.27,$1.25,"$1,820.68",$364.14,$4.44,$0.89
HONDAJET ELITE,HONDA,Business Jet,Yes,2019,2021,2019-2021,Yes,3,5,1,"43,000","3,900",13.21,39.87,41.70,"21,963",4.91,5.00,17.91,439.7,66,5.0,912,414,5,"$4,800,000","$3,913,789",1.0,100,$0,$832.60,0.0,0,$0,"$338,744","$749,340","$181,268","$1,088,084","$390,012","$7,636,272","$3,722,483","$1,673,244",2.22,"$2,049,238",18.45,56.08,3.69,83.73,159.09,16.75,107.58,146.86,21.52,61.43,12.03,12.29,79.44,15.89,"$2,417.96",$483.59,$5.84,$1.17,"$1,665.20",$333.04,$4.02,$0.80
CITATION M2,CESSNA,Business Jet,Yes,2013,2022,2013-2022,Yes,2,11,1,"41,000","3,168",13.80,46.80,42.60,"27,513",4.90,4.91,11.00,264.6,43.1,10.4,677,404,6,"$4,123,000","$3,361,782",1.0,103,$0,$893.40,0.0,0,$0,"$504,836","$804,060","$199,320","$1,308,896","$574,156","$7,754,996","$4,393,215","$1,839,873",2.39,"$2,553,341",19.20,58.65,3.20,114.55,221.95,19.09,140.30,192.11,23.38,68.60,13.44,11.43,102.78,17.13,"$2,908.66",$484.78,$7.20,$1.20,"$1,786.80",$297.80,$4.42,$0.74
GRAND CARAVAN EX 208B,CESSNA,Turboprop,No,2013,2019,2013-2019,Yes,5,11,1,"25,000","2,673",15.50,52.10,41.60,"33,594",4.60,5.30,16.90,412.0,143,8.2,482,187,9,"$2,672,000","$2,178,676",2.1,222,$0,$479.76,0.0,0,$0,"$214,188","$431,784","$231,243","$645,972","$362,731","$4,978,977","$2,800,301","$2,134,547",1.31,"$665,754",26.63,84.14,2.96,103.30,199.00,11.48,141.57,193.87,15.73,51.10,9.99,5.68,101.93,11.33,"$1,435.49",$159.50,$7.68,$0.85,$959.52,$106.61,$5.13,$0.57
G-III,GULFSTREAM,Business Jet,Yes,1979,1987,1979-1987,No,37,45,2,"45,000","5,265",24.50,77.91,83.10,"158,621",6.10,7.40,41.30,1864.3,157,8.5,"3,374",478,12,"$450,000","$366,918",0.8,87,$0,"$3,531.52",0.0,0,$0,"$909,334","$3,178,368","$665,916","$4,087,702","$1,445,250","$7,759,330","$7,392,413","$6,146,913",1.20,"$1,245,499",16.23,48.49,1.35,23.00,35.23,1.92,41.86,55.94,3.49,229.31,45.16,19.11,50.55,4.21,"$9,083.78",$756.98,$19.00,$1.58,"$7,063.04",$588.59,$14.78,$1.23
CARAVAN XP42 BLACKHAWK,CESSNA,Turboprop,No,1985,2019,1985-2019,Yes,5,39,1,"25,000","2,140",15.50,52.10,41.60,"33,594",4.60,5.30,16.90,412.0,145,8.2,611,186,9,"$2,566,000","$2,092,246",2.2,224,$0,$551.38,0.0,0,$0,"$214,188","$496,242","$267,192","$710,430","$398,680","$5,033,154","$2,940,907","$2,466,388",1.19,"$474,520",27.06,85.63,3.01,82.38,156.33,9.15,120.98,165.39,13.44,59.68,11.68,6.63,88.54,9.84,"$1,578.73",$175.41,$8.49,$0.94,"$1,102.76",$122.53,$5.93,$0.66
2 TURBINE BEAVER,VIKING/DEHAVILLAND,Turboprop,No,1948,2024,1948-2024,Yes,0,76,1,"18,000","1,004",9.00,48.00,30.30,"13,090",4.92,5.00,18.50,455.1,140,2.9,536,133,8,"$1,095,000","$892,833",3.0,313,$0,$518.62,0.0,0,$0,"$202,188","$466,758","$351,466","$668,946","$470,954","$3,651,936","$2,759,103","$3,244,300",0.85,"-$485,197",27.46,86.99,3.43,68.13,127.28,8.52,107.14,146.24,13.39,56.96,11.15,7.12,78.69,9.84,"$1,486.55",$185.82,$11.18,$1.40,"$1,037.24",$129.66,$7.80,$0.97
KING AIR C90GTx,BEECH,Turboprop,Yes,2010,2024,2010-2024,Yes,0,14,1,"30,000","3,790",14.30,50.20,35.50,"25,484",4.90,4.60,12.60,284.0,48,9.0,880,274,5,"$3,927,000","$3,201,969",1.5,152,$0,$876.52,0.0,0,$0,"$365,568","$788,868","$288,335","$1,154,436","$571,203","$7,508,044","$4,306,076","$2,661,550",1.62,"$1,644,526",27.40,86.80,5.48,85.32,162.33,17.06,124.57,170.35,24.91,96.07,18.87,19.21,94.61,18.92,"$2,565.41",$513.08,$9.36,$1.87,"$1,753.04",$350.61,$6.40,$1.28
HAWKER 800XP,BAE,Business Jet,Yes,1995,2005,1995-2005,Yes,19,29,2,"41,000","5,499",17.40,51.40,51.10,"45,702",5.90,6.00,21.40,757.6,48,6.0,"2,424",430,8,"$2,770,000","$2,258,582",0.9,97,$0,"$1,961.88",0.0,0,$0,"$618,451","$1,765,692","$411,234","$2,384,143","$899,685","$7,779,845","$5,521,262","$3,796,010",1.45,"$1,725,252",18.09,54.87,2.26,32.10,53.78,4.01,54.33,73.19,6.79,141.98,27.93,17.75,50.56,6.32,"$5,298.10",$662.26,$12.32,$1.54,"$3,923.76",$490.47,$9.13,$1.14
CITATION CJ2+,CESSNA,Business Jet,Yes,2005,2015,2005-2015,Yes,9,19,1,"45,000","3,714",13.90,49.80,47.70,"33,019",4.90,4.91,13.70,329.6,65,10.0,"1,164",412,7,"$4,133,000","$3,369,935",1.0,101,$0,$942.76,0.0,0,$0,"$509,403","$848,484","$206,248","$1,357,887","$585,651","$7,824,319","$4,454,383","$1,903,826",2.34,"$2,550,557",18.99,57.95,2.71,67.22,125.42,9.60,91.68,124.87,13.10,71.62,14.04,10.23,69.45,9.92,"$3,017.53",$431.08,$7.32,$1.05,"$1,885.52",$269.36,$4.58,$0.65
CARAVAN 208,CESSNA,Turboprop,No,1985,2019,1985-2019,Yes,5,39,1,"30,000","2,003",14.80,52.10,37.60,"28,993",4.60,5.40,12.90,320.4,32,9.0,317,175,9,"$2,566,000","$2,092,246",2.3,238,$0,$452.94,0.0,0,$0,"$212,188","$407,646","$233,286","$619,834","$362,774","$4,853,622","$2,761,376","$2,153,406",1.28,"$607,969",27.73,87.94,3.08,153.11,300.59,17.01,194.27,266.77,21.59,50.25,9.82,5.58,138.30,15.37,"$1,377.41",$153.05,$7.87,$0.87,$905.88,$100.65,$5.18,$0.58
CARAVAN 208/Cargo Pod,CESSNA,Turboprop,No,1985,2019,1985-2019,Yes,5,39,1,"30,000","2,203",14.80,52.10,37.60,"28,993",4.60,5.40,12.90,320.4,116,9.0,98,175,9,"$2,566,000","$2,092,246",2.3,238,$0,$455.92,0.0,0,$0,"$212,188","$410,328","$234,821","$622,516","$364,309","$4,861,296","$2,769,050","$2,167,574",1.28,"$601,476",27.78,88.09,3.09,496.05,"1,000.00",55.12,544.05,750.62,60.45,50.66,9.90,5.63,380.26,42.25,"$1,383.37",$153.71,$7.90,$0.88,$911.84,$101.32,$5.21,$0.58
HAWKER 800XPI,BAE,Business Jet,Yes,2005,2007,2005-2007,Yes,17,19,2,"41,000","5,499",17.40,51.40,51.10,"45,702",5.90,6.00,21.40,757.6,49,6.0,"2,408",430,8,"$3,048,000","$2,485,256",0.9,97,$0,"$1,961.88",0.0,0,$0,"$618,418","$1,765,692","$411,234","$2,384,110","$899,652","$8,109,006","$5,623,750","$3,796,010",1.48,"$1,827,740",18.86,57.49,2.36,33.68,57.01,4.21,57.25,77.23,7.16,147.99,29.11,18.50,53.17,6.65,"$5,298.02",$662.25,$12.32,$1.54,"$3,923.76",$490.47,$9.13,$1.14
PC-6 DASH 27 ENGINE,PILATUS,Turboprop,No,1970,2024,1970-2024,Yes,0,54,1,"25,000","1,519",10.50,52.07,35.76,"19,551",4.20,7.50,7.60,239.4,0,8.2,488,145,7,"$1,835,000","$1,496,209",2.8,287,$0,$431.12,0.0,0,$0,"$204,126","$388,008","$267,988","$592,134","$389,414","$4,120,862","$2,624,653","$2,473,737",1.06,"$150,916",28.42,90.29,4.06,84.44,160.55,12.06,125.42,171.53,17.92,49.01,9.58,7.00,90.55,12.94,"$1,315.85",$187.98,$9.07,$1.30,$862.24,$123.18,$5.95,$0.85
HAWKER 1000,BAE,Business Jet,Yes,1991,1996,1991-1996,Yes,28,33,2,"43,000","5,850",17.10,51.40,52.90,"46,496",5.90,6.00,24.50,867.3,72,5.4,"2,896",440,9,"$2,475,000","$2,018,047",0.9,95,$0,"$2,005.44",0.0,0,$0,"$780,724","$1,804,896","$410,811","$2,585,620","$1,061,535","$8,239,629","$6,221,582","$3,792,105",1.64,"$2,429,477",18.73,57.04,2.08,28.45,46.35,3.16,51.70,69.55,5.74,150.22,29.55,16.69,49.55,5.51,"$5,745.82",$638.42,$13.06,$1.45,"$4,010.88",$445.65,$9.12,$1.01
HAWKER 750,BAE,Business Jet,Yes,2008,2011,2008-2011,Yes,13,16,2,"41,000","4,777",17.40,51.40,51.10,"45,702",5.90,6.00,21.40,757.6,79,6.0,"2,000",430,8,"$3,150,000","$2,568,424",0.9,97,$0,"$1,973.88",0.0,0,$0,"$619,418","$1,776,492","$413,750","$2,395,910","$903,168","$8,247,415","$5,678,991","$3,819,228",1.49,"$1,859,762",19.18,58.60,2.40,41.24,72.43,5.15,65.51,88.66,8.19,151.44,29.79,18.93,59.23,7.40,"$5,324.24",$665.53,$12.38,$1.55,"$3,947.76",$493.47,$9.18,$1.15
PC-12 NG,PILATUS,Turboprop,No,2008,2020,2008-2020,Yes,4,16,1,"30,000","2,388",14.00,53.20,47.30,"35,229",4.91,5.00,16.92,415.4,40,8.5,"1,276",268,7,"$4,921,000","$4,012,449",1.5,155,$0,$587.00,0.0,0,$0,"$227,908","$528,300","$197,419","$756,208","$342,627","$7,542,685","$3,530,236","$1,822,328",1.94,"$1,707,908",28.14,89.35,4.02,59.11,108.88,8.44,99.12,135.15,14.16,66.08,12.95,9.44,74.05,10.58,"$1,680.46",$240.07,$6.27,$0.90,"$1,174.00",$167.71,$4.38,$0.63
FALCON 50,DASSAULT,Business Jet,Yes,1980,1996,1980-1996,Yes,28,44,2,"49,000","4,875",22.90,61.80,60.70,"85,904",5.91,6.10,23.60,850.8,115,10.1,"2,981",431,9,"$2,095,000","$1,708,206",0.9,97,$0,"$2,564.14",0.0,0,$0,"$820,100","$2,307,726","$536,229","$3,127,826","$1,226,329","$8,613,437","$6,905,231","$4,949,802",1.40,"$1,955,429",19.98,61.36,2.22,28.89,47.26,3.21,54.31,73.16,6.03,204.98,40.36,22.78,56.76,6.31,"$6,950.72",$772.30,$16.13,$1.79,"$5,128.28",$569.81,$11.90,$1.32
LEARJET 45XR,BOMBARDIER,Business Jet,Yes,2003,2012,2003-2012,Yes,12,21,2,"51,000","4,914",14.10,47.80,57.60,"38,821",4.92,5.10,19.90,499.3,65,7.8,"1,643",436,8,"$4,073,000","$3,321,013",0.9,95,$0,"$1,768.62",0.0,0,$0,"$527,452","$1,591,758","$365,623","$2,119,210","$763,075","$8,640,362","$5,319,349","$3,374,981",1.58,"$1,944,368",19.82,60.78,2.48,52.59,95.58,6.57,78.18,106.19,9.77,140.20,27.57,17.52,66.88,8.36,"$4,709.36",$588.67,$10.80,$1.35,"$3,537.24",$442.16,$8.11,$1.01
G150,GULFSTREAM,Business Jet,Yes,2006,2017,2006-2017,Yes,7,18,2,"45,000","5,499",19.10,55.60,56.70,"60,213",5.90,5.90,17.80,619.6,80,9.7,"2,691",459,7,"$3,698,000","$3,015,248",0.9,91,$0,"$1,687.60",0.0,0,$0,"$655,166","$1,518,840","$331,392","$2,174,006","$856,558","$8,663,543","$5,648,294","$3,059,005",1.85,"$2,589,290",18.87,57.55,2.70,32.19,53.99,4.60,55.77,75.18,7.97,127.41,25.05,18.20,50.12,7.16,"$4,831.12",$690.16,$10.53,$1.50,"$3,375.20",$482.17,$7.35,$1.05
DASH 8-300,BOMBARDIER/DEHAV,Turboprop,Yes,1989,1996,1989-1996,Yes,28,35,2,"25,000","3,768",24.70,90.00,84.30,"187,399",6.50,8.20,41.60,2217.3,320,8.5,953,271,50,"$3,250,000","$2,649,961",1.5,154,$0,"$1,436.26",0.0,0,$0,"$578,558","$1,292,634","$477,693","$1,871,192","$973,551","$8,717,796","$6,067,834","$4,409,477",1.38,"$1,658,357",32.17,103.15,0.64,91.48,174.89,1.83,139.02,190.35,2.78,184.81,36.38,3.70,113.37,2.27,"$4,158.20",$83.16,$15.34,$0.31,"$2,872.52",$57.45,$10.60,$0.21
KING AIR 350ER,BEECH,Turboprop,Yes,2008,2009,2008-2009,Yes,15,16,1,"35,000","4,977",14.30,57.90,46.70,"38,666",4.90,4.60,19.20,432.8,72,8.9,"1,831",303,8,"$4,493,000","$3,663,470",1.3,137,$0,"$1,000.82",0.0,0,$0,"$482,058","$900,738","$297,714","$1,382,796","$697,072","$8,807,889","$5,144,419","$2,748,126",1.87,"$2,396,293",29.07,92.52,3.63,48.10,86.43,6.01,89.48,121.81,11.18,116.37,22.87,14.55,72.34,9.04,"$3,072.88",$384.11,$10.14,$1.27,"$2,001.64",$250.21,$6.61,$0.83
CITATION ENCORE+,CESSNA,Business Jet,Yes,2007,2011,2007-2011,Yes,13,17,2,"45,000","3,822",15.20,54.10,48.90,"40,211",4.90,4.91,17.40,418.6,71,9.6,"1,457",430,7,"$4,500,000","$3,669,177",0.9,97,$0,"$1,342.54",0.0,0,$0,"$519,040","$1,208,286","$281,413","$1,727,326","$670,453","$8,683,088","$5,013,911","$2,597,659",1.93,"$2,416,252",20.19,62.07,2.88,59.60,109.87,8.51,85.97,116.96,12.28,108.44,21.31,15.49,69.14,9.88,"$3,838.50",$548.36,$8.93,$1.28,"$2,685.08",$383.58,$6.24,$0.89
LEARJET 60XR,BOMBARDIER,Business Jet,Yes,2007,2013,2007-2013,Yes,11,17,2,"51,000","5,313",14.60,43.80,58.70,"37,537",5.90,5.92,17.80,621.7,48,6.0,"1,993",436,7,"$3,720,000","$3,033,186",0.9,95,$0,"$1,779.22",0.0,0,$0,"$623,802","$1,601,298","$367,814","$2,225,100","$861,616","$8,714,895","$5,681,709","$3,395,209",1.67,"$2,286,500",19.99,61.37,2.86,43.73,77.51,6.25,69.44,94.09,9.92,142.25,27.98,20.32,61.04,8.72,"$4,944.67",$706.38,$11.34,$1.62,"$3,558.44",$508.35,$8.16,$1.17
CITATION CJ3,CESSNA,Business Jet,Yes,2004,2015,2004-2015,Yes,9,20,1,"45,000","3,354",15.10,53.30,50.20,"40,402",4.90,4.91,15.80,380.1,65,10.6,"1,352",413,7,"$5,034,000","$4,104,586",1.0,101,$0,$995.00,0.0,0,$0,"$517,804","$895,500","$217,149","$1,413,304","$604,953","$8,988,180","$4,883,594","$2,004,455",2.44,"$2,879,139",21.76,67.46,3.11,66.48,123.91,9.50,95.68,130.40,13.67,86.62,17.00,12.37,73.70,10.53,"$3,140.68",$448.67,$7.60,$1.09,"$1,990.00",$284.29,$4.82,$0.69
CITATION M2 GEN 2,CESSNA,Business Jet,Yes,2022,2024,2022-2024,Yes,0,2,1,"41,000","3,168",13.80,46.80,42.60,"27,513",4.90,4.91,11.00,264.6,43.1,10.4,677,404,6,"$5,400,000","$4,403,013",1.0,103,$0,$893.40,0.0,0,$0,"$508,836","$804,060","$199,320","$1,312,896","$578,156","$9,287,765","$4,884,753","$1,839,873",2.65,"$3,044,880",22.99,71.67,3.83,137.19,268.12,22.87,169.89,233.05,28.32,82.16,16.12,13.69,124.59,20.76,"$2,917.55",$486.26,$7.22,$1.20,"$1,786.80",$297.80,$4.42,$0.74
CHALLENGER 601-3R,BOMBARDIER,Business Jet,Yes,1993,1995,1993-1995,Yes,29,31,2,"41,000","6,337",20.60,64.30,68.50,"90,734",6.10,8.20,28.40,1420.6,115,6.4,"3,296",443,9,"$2,300,000","$1,875,357",0.9,94,$0,"$2,650.96",0.0,0,$0,"$910,036","$2,385,864","$539,368","$3,295,900","$1,319,404","$9,321,661","$7,446,304","$4,978,778",1.50,"$2,467,526",21.04,64.99,2.34,28.28,46.01,3.14,55.50,74.81,6.17,223.13,43.94,24.79,59.37,6.60,"$7,324.22",$813.80,$16.53,$1.84,"$5,301.92",$589.10,$11.97,$1.33
ATR 42-300,ATR,Turboprop,Yes,1985,1997,1985-1997,Yes,27,39,2,"25,000","4,158",24.92,80.70,74.50,"149,823",6.30,8.40,31.40,1661.7,400,9.0,"2,311",270,42,"$3,000,000","$2,446,118",1.5,154,$0,"$1,775.84",0.0,0,$0,"$575,996","$1,598,256","$592,824","$2,174,252","$1,086,120","$8,984,480","$6,538,362","$5,472,218",1.19,"$1,066,144",33.28,106.95,0.79,38.88,67.61,0.93,87.28,118.78,2.08,236.37,46.56,5.63,82.67,1.97,"$4,831.67",$115.04,$17.90,$0.43,"$3,551.68",$84.56,$13.15,$0.31
CHALLENGER 601-3A,BOMBARDIER,Business Jet,Yes,1987,1993,1987-1993,No,31,37,2,"41,000","5,947",20.60,64.30,68.50,"90,734",6.10,8.20,28.40,1420.6,115,6.4,"3,003",443,9,"$2,025,000","$1,651,130",0.9,94,$0,"$2,936.96",0.0,0,$0,"$919,475","$2,643,264","$597,558","$3,562,739","$1,387,033","$9,334,033","$7,682,903","$5,515,916",1.39,"$2,166,987",21.07,65.08,2.34,31.08,51.72,3.45,58.40,78.82,6.49,247.53,48.76,27.50,63.79,7.09,"$7,917.20",$879.69,$17.87,$1.99,"$5,873.92",$652.66,$13.26,$1.47
KING AIR 250,BEECH,Turboprop,Yes,2011,2024,2011-2024,Yes,0,13,1,"35,000","3,826",14.80,57.80,43.90,"37,554",4.90,4.60,16.80,378.7,55,9.9,620,302,7,"$4,795,000","$3,909,712",1.3,138,$0,"$1,019.12",0.0,0,$0,"$468,746","$917,208","$304,161","$1,385,954","$690,207","$9,131,324","$5,221,612","$2,807,642",1.86,"$2,413,970",30.24,96.52,4.32,147.28,288.70,21.04,192.61,264.48,27.52,123.26,24.23,17.61,144.35,20.62,"$3,079.90",$439.99,$10.20,$1.46,"$2,038.24",$291.18,$6.75,$0.96
PC-6 DASH 34 ENGINE,PILATUS,Turboprop,No,1970,2024,1970-2024,Yes,0,54,1,"25,000","1,519",10.50,52.07,35.76,"19,551",4.20,7.50,7.60,239.4,0,8.2,488,145,7,"$1,995,000","$1,626,669",2.8,287,$0,$517.62,0.0,0,$0,"$207,762","$465,858","$321,757","$673,620","$446,819","$4,597,428","$2,970,760","$2,970,068",1.00,$692,31.71,101.57,4.53,94.21,180.46,13.46,141.02,193.11,20.15,65.65,12.86,9.38,102.98,14.71,"$1,496.93",$213.85,$10.32,$1.47,"$1,035.24",$147.89,$7.14,$1.02
PC-12 NGX,PILATUS,Turboprop,No,2020,2024,2020-2024,Yes,0,4,1,"30,000","2,485",14.00,53.20,47.30,"35,229",4.91,5.00,16.92,415.4,40,8.5,"1,057",290,8,"$6,723,000","$5,481,751",1.4,143,$0,$523.40,0.0,0,$0,"$230,908","$471,060","$162,675","$701,968","$310,883","$9,518,665","$4,036,914","$1,501,617",2.69,"$2,535,298",32.82,105.40,4.10,90.05,171.99,11.26,138.69,189.89,17.34,68.72,13.47,8.59,101.68,12.71,"$1,559.93",$194.99,$5.38,$0.67,"$1,046.80",$130.85,$3.61,$0.45
AVANTI EVO,PIAGGIO,Turboprop,Yes,2014,2019,2014-2019,Yes,5,10,1,"41,000","3,412",13.00,46.00,42.30,"25,295",5.91,6.10,17.60,634.5,60,4.0,"1,050",345,6,"$6,941,200","$5,659,665",1.2,121,$0,"$1,292.84",0.0,0,$0,"$486,058","$1,163,556","$337,762","$1,649,614","$741,120","$11,928,336","$6,268,671","$3,117,805",2.01,"$3,150,866",34.57,111.41,5.76,113.60,220.02,18.93,165.71,227.27,27.62,178.80,35.19,29.80,131.23,21.87,"$3,665.81",$610.97,$10.63,$1.77,"$2,585.68",$430.95,$7.49,$1.25
